guid,tag
8,negative
1576,positive
2320,negative
4912,positive
3821,neutral
1306,positive
4555,positive
259,positive
3216,neutral
881,positive
1037,negative
2463,positive
3760,positive
3102,positive
4074,positive
2155,positive
5009,positive
3292,positive
3599,negative
1061,positive
3927,neutral
4461,positive
716,positive
2505,positive
1803,negative
2157,positive
1612,negative
4052,positive
3641,positive
5097,positive
2358,negative
349,negative
4710,positive
2991,negative
459,positive
1737,positive
1993,positive
116,positive
2949,negative
2792,positive
1580,positive
2021,negative
4843,negative
4827,neutral
3119,positive
3298,negative
4541,negative
1952,negative
1839,negative
2127,positive
3872,positive
3023,positive
2351,neutral
4507,neutral
600,neutral
1516,negative
4601,positive
1046,negative
1227,positive
4378,negative
4357,positive
4094,negative
5027,neutral
1969,positive
4754,negative
861,negative
136,neutral
4466,negative
4916,negative
1025,neutral
4922,positive
1233,positive
1173,negative
532,positive
51,positive
3008,positive
1578,negative
4945,positive
2572,positive
173,positive
3439,neutral
755,positive
2918,negative
1417,positive
3152,positive
121,positive
780,positive
4319,positive
1191,negative
1573,positive
1406,negative
3955,neutral
2904,neutral
2721,positive
58,neutral
3149,positive
3690,positive
3243,positive
3476,positive
1393,positive
3362,positive
1552,positive
2348,positive
1863,positive
3003,positive
1949,positive
2137,positive
4500,positive
2823,positive
1021,positive
3103,negative
4981,positive
3110,positive
824,positive
1999,negative
1769,negative
4038,positive
2499,positive
4287,negative
4913,neutral
3181,positive
4578,positive
1446,negative
1269,positive
2803,positive
1099,positive
96,negative
749,negative
489,negative
3464,negative
4910,negative
5000,neutral
2717,neutral
939,negative
4944,neutral
4560,negative
4471,neutral
313,negative
3002,negative
204,positive
4082,positive
960,negative
740,positive
31,negative
3324,negative
264,neutral
1922,positive
3424,positive
1192,positive
4603,positive
570,negative
2668,positive
1645,negative
3271,positive
89,positive
3975,positive
3397,positive
3638,positive
1228,positive
2744,neutral
4545,negative
730,positive
2958,positive
1717,positive
1324,positive
4312,negative
3374,negative
4430,negative
3945,positive
290,negative
4061,positive
1168,positive
1667,negative
3139,positive
964,negative
3495,negative
932,negative
4483,negative
3227,negative
5108,positive
1931,positive
5040,positive
3174,negative
1381,positive
2800,negative
4911,negative
1768,negative
4087,positive
1648,negative
3909,positive
4348,negative
3170,negative
3774,negative
3492,positive
1994,positive
2971,positive
5043,positive
4552,positive
4372,positive
1682,negative
4046,positive
4022,positive
174,negative
4387,positive
677,positive
1133,positive
429,negative
4040,negative
2114,negative
3998,positive
1020,positive
2676,neutral
2367,positive
5037,positive
2863,positive
2988,negative
2746,positive
1431,negative
2550,positive
286,positive
739,positive
3348,negative
3948,negative
3224,positive
1096,positive
1584,negative
3660,positive
3898,positive
751,positive
3963,negative
3891,negative
312,negative
867,positive
3268,negative
1697,negative
1791,positive
3701,positive
2055,positive
3914,positive
3572,neutral
1660,neutral
2943,positive
424,positive
1285,positive
3039,positive
1642,positive
1111,positive
1539,negative
3401,positive
2098,positive
3400,positive
4345,negative
1352,positive
4681,positive
3005,negative
2362,positive
2154,negative
1512,negative
2677,positive
848,neutral
1243,positive
3637,positive
1990,positive
2627,positive
948,positive
5039,positive
1587,negative
55,negative
4738,negative
4205,negative
3494,positive
2758,negative
479,positive
1898,negative
3046,positive
1088,positive
1039,negative
1875,positive
1100,positive
224,positive
2585,negative
2888,neutral
1309,neutral
4693,positive
3651,negative
383,positive
1057,positive
2607,negative
3306,neutral
310,negative
2646,negative
1490,positive
4860,neutral
1606,negative
3554,positive
3580,positive
4947,positive
3889,positive
5,negative
2704,positive
3346,negative
2480,positive
3842,positive
4807,positive
3001,positive
4715,positive
4410,positive
1290,negative
4644,negative
4294,negative
4847,positive
2750,positive
1861,positive
4272,negative
617,negative
1574,negative
2332,negative
1974,positive
3399,positive
3714,negative
5092,positive
2709,negative
1435,negative
4449,negative
2939,positive
1429,positive
145,negative
250,neutral
4871,positive
1868,neutral
1508,negative
4811,negative
3222,negative
566,negative
558,positive
38,negative
533,positive
2527,negative
2078,negative
3731,positive
124,positive
4774,negative
967,neutral
3016,negative
2911,positive
4613,positive
4201,positive
4877,neutral
4306,positive
3671,neutral
4255,positive
1105,positive
1806,negative
3061,negative
1830,negative
3417,positive
60,positive
1933,positive
3022,negative
2635,positive
2815,positive
1301,negative
575,negative
4925,negative
4112,positive
5127,positive
4795,negative
334,positive
3126,positive
912,positive
3969,negative
3451,negative
3336,negative
923,neutral
2737,neutral
2443,positive
1312,negative
3505,positive
2764,positive
4580,negative
3854,positive
2570,negative
2989,neutral
2115,negative
3462,neutral
1699,positive
4898,negative
4138,negative
1866,neutral
2915,positive
1635,negative
1908,positive
4030,positive
4771,neutral
3248,positive
494,positive
3161,positive
20,negative
3300,negative
4242,positive
1476,positive
1879,positive
1384,positive
1616,negative
4376,positive
3884,negative
2026,negative
4291,positive
4790,positive
657,negative
2873,positive
812,positive
2893,positive
3296,negative
126,positive
2469,positive
3206,positive
2019,positive
916,positive
4621,positive
1620,positive
184,positive
5017,positive
1201,negative
5111,negative
4417,neutral
4431,positive
4434,positive
4920,negative
272,positive
279,positive
3020,positive
2325,positive
2858,positive
4288,positive
1596,positive
803,negative
4363,positive
1895,negative
3044,negative
4721,positive
698,positive
1426,negative
2016,positive
3745,negative
4903,negative
534,positive
3650,positive
3371,positive
112,positive
176,positive
573,positive
4919,positive
3276,neutral
480,positive
87,positive
911,positive
3705,negative
3082,positive
2537,neutral
4450,positive
1497,negative
3083,positive
443,positive
2957,negative
2099,negative
2962,negative
460,positive
1918,negative
3052,positive
13,negative
863,negative
1252,positive
3570,positive
4684,positive
2046,negative
1537,positive
2555,negative
1052,negative
1713,neutral
2597,positive
282,positive
3833,negative
4885,negative
4587,positive
1401,negative
1281,positive
2085,positive
565,negative
1205,negative
1560,negative
4064,positive
1036,negative
2606,positive
4777,neutral
588,neutral
609,positive
3279,positive
3511,neutral
4796,negative
2107,positive
1106,positive
3395,neutral
2546,positive
4678,positive
1000,neutral
1048,positive
1059,negative
1485,negative
3195,neutral
2029,neutral
